ID,Week,Block,Rep,Hatch,Box,Isolation,DaysIso,Maturation,#Bouts,Trials I,#I,TDur,AvDur,#E,TDurE,AvDurE,#Agg,T1,1#I,1IDur,1#E,1EDur,T2,2#I,2IDur,2#E,2EDur,T3,3#I,3IDur,3#E,3EDur,I1,I2,I3,E1,E2,E3,I,E,IC,EC,,,,,,,,,,,,,,,,,,
01-A,1,01,A,15/11/2019,1,04/02/2020,14,18/02/2020,2,1,1,10,10.0,1,1.0,0.3,2,002,1,10,0,0,011,0,0,1,1,013,0,0,0,0,1,0,0,0,1,0,100,010,1,1,,,,,,,,,,,,,,,,,,
01-B,1,01,B,15/11/2019,2,04/02/2020,10,14/02/2020,2,1,1,12,12.0,1,10.0,3.3,2,002,0,0,1,10,010,1,12,0,0,017,0,0,0,0,0,1,0,1,0,0,010,100,1,1,,,,,,,,,,,,,,,,,,
01-C,1,01,C,15/11/2019,1,04/02/2020,10,14/02/2020,1,1,1,1,1.0,0,0.0,0.0,1,004,0,0,0,0,011,1,1,0,0,017,0,0,0,0,0,1,0,0,0,0,010,000,1,0,,,,,,,,,,,,,,,,,,
01-D,1,01,D,15/11/2019,1,11/02/2020,7,18/02/2020,1,0,0,0,0.0,1,12.0,4.0,1,004,0,0,0,0,010,0,0,1,12,013,0,0,0,0,0,0,0,0,1,0,000,010,0,1,,,,,,,,,,,,,,,,,,
02-A,1,02,A,15/11/2019,2,04/02/2020,10,14/02/2020,2,2,2,19,9.5,0,0.0,0.0,2,003,0,0,0,0,007,1,16,0,0,016,1,3,0,0,0,1,1,0,0,0,011,000,2,0,,,,,,,,,,,,,,,,,,
02-B,1,02,B,15/11/2019,2,04/02/2020,14,18/02/2020,1,0,0,0,0.0,1,10.0,3.3,1,003,0,0,0,0,008,0,0,0,0,018,0,0,1,10,0,0,0,0,0,1,000,001,0,1,,,,,,,,,,,,,,,,,,
02-C,1,02,C,15/11/2019,2,04/02/2020,10,14/02/2020,2,1,1,10,10.0,1,16.0,5.3,2,006,0,0,0,0,007,0,0,1,16,018,1,10,0,0,0,0,1,0,1,0,001,010,1,1,,,,,,,,,,,,,,,,,,
02-D,1,02,D,15/11/2019,1,11/02/2020,7,18/02/2020,1,0,0,0,0.0,1,3.0,1.0,1,006,0,0,0,0,008,0,0,0,0,016,0,0,1,3,0,0,0,0,0,1,000,001,0,1,,,,,,,,,,,,,,,,,,
03-A,1,03,A,15/11/2019,1,04/02/2020,10,14/02/2020,5,2,2,11,5.5,3,49.0,16.3,5,005,1,6,1,33,012,0,0,1,14,015,1,5,1,2,1,0,1,1,1,1,101,111,2,3,,,,,,,,,,,,,,,,,,
03-B,1,03,B,15/11/2019,2,04/02/2020,14,18/02/2020,5,2,2,42,21.0,3,39.0,13.0,5,005,1,33,1,6,009,1,9,2,33,014,0,0,0,0,1,1,0,1,1,0,110,110,2,2,,,,,,,,,,,,,,,,,,
03-C,1,03,C,13/12/2019,6,11/02/2020,7,18/02/2020,3,2,2,36,18.0,1,12.0,4.0,3,001,1,22,1,12,012,1,14,0,0,014,0,0,0,0,1,1,0,1,0,0,110,100,2,1,,,,,,,,,,,,,,,,,,
03-D,1,03,D,15/11/2019,2,04/02/2020,14,18/02/2020,7,3,4,47,11.8,3,36.0,12.0,7,001,1,12,1,22,009,2,33,1,9,015,1,2,1,5,1,1,1,1,1,1,111,111,3,3,,,,,,,,,,,,,,,,,,
04-A,2,04,A,15/11/2019,1,11/02/2020,14,25/02/2020,1,1,1,3,3.0,0,0.0,0.0,1,023,0,0,0,0,035,1,3,0,0,043,0,0,0,0,0,1,0,0,0,0,010,000,1,0,,,,,,,,,,,,,,,,,,
04-B,2,04,B,15/11/2019,1,11/02/2020,10,21/02/2020,2,1,2,40,20.0,0,0.0,0.0,2,023,0,0,0,0,042,2,40,0,0,051,0,0,0,0,0,1,0,0,0,0,010,000,1,0,,,,,,,,,,,,,,,,,,
04-C,2,04,C,13/12/2019,5,18/02/2020,7,25/02/2020,1,0,0,0,0.0,1,3.0,1.0,1,021,0,0,0,0,035,0,0,1,3,051,0,0,0,0,0,0,0,0,1,0,000,010,0,1,,,,,,,,,,,,,,,,,,
04-D,2,04,D,13/12/2020,6,18/02/2020,7,25/02/2020,2,0,0,0,0.0,2,40.0,13.3,2,021,0,0,0,0,042,0,0,2,40,043,0,0,0,0,0,0,0,0,1,0,000,010,0,1,,,,,,,,,,,,,,,,,,
05-A,2,05,A,15/11/2019,2,11/02/2020,10,21/02/2020,1,0,0,0,0.0,1,14.0,4.7,1,020,0,0,0,0,039,0,0,0,0,045,0,0,1,14,0,0,0,0,0,1,000,001,0,1,,,,,,,,,,,,,,,,,,
05-B,2,05,B,15/11/2019,1,11/02/2020,10,21/02/2020,1,0,0,0,0.0,1,2.0,0.7,1,020,0,0,0,0,034,0,0,0,0,053,0,0,1,2,0,0,0,0,0,1,000,001,0,1,,,,,,,,,,,,,,,,,,
05-C,2,05,C,13/12/2019,6,18/02/2020,7,25/02/2020,1,1,1,2,2.0,0,0.0,0.0,1,027,0,0,0,0,039,0,0,0,0,053,1,2,0,0,0,0,1,0,0,0,001,000,1,0,,,,,,,,,,,,,,,,,,
05-D,2,05,D,13/12/2019,6,11/02/2020,14,25/02/2020,1,1,1,14,14.0,0,0.0,0.0,1,027,0,0,0,0,034,0,0,0,0,045,1,14,0,0,0,0,1,0,0,0,001,000,1,0,,,,,,,,,,,,,,,,,,
06-A,2,06,A,15/11/2019,2,18/02/2020,7,25/02/2020,1,1,1,5,5.0,0,0.0,0.0,1,022,1,5,0,0,037,0,0,0,0,044,0,0,0,0,1,0,0,0,0,0,100,000,1,0,,,,,,,,,,,,,,,,,,
06-B,2,06,B,15/11/2019,1,11/02/2020,14,25/02/2020,2,1,1,5,5.0,1,5.0,1.7,2,022,0,0,1,5,041,0,0,0,0,050,1,5,0,0,0,0,1,1,0,0,001,100,1,1,,,,,,,,,,,,,,,,,,
06-C,2,06,C,15/11/2019,1,11/02/2020,10,21/02/2020,1,0,0,0,0.0,1,5.0,1.7,1,029,0,0,0,0,037,0,0,0,0,050,0,0,1,5,0,0,0,0,0,1,000,001,0,1,,,,,,,,,,,,,,,,,,
06-D,2,06,D,15/11/2019,1,18/02/2020,7,25/02/2020,0,0,0,0,0.0,0,0.0,0.0,0,029,0,0,0,0,041,0,0,0,0,044,0,0,0,0,0,0,0,0,0,0,000,000,0,0,,,,,,,,,,,,,,,,,,
07-A,2,07,A,13/12/2020,6,18/02/2020,7,25/02/2020,3,0,0,0,0.0,3,48.0,16.0,3,030,0,0,1,19,038,0,0,1,4,046,0,0,1,25,0,0,0,1,1,1,000,111,0,3,,,,,,,,,,,,,,,,,,
07-B,2,07,B,15/11/2020,2,11/02/2020,14,25/02/2020,2,2,2,62,31.0,0,0.0,0.0,2,030,1,19,0,0,033,1,43,0,0,048,0,0,0,0,1,1,0,0,0,0,110,000,2,0,,,,,,,,,,,,,,,,,,
07-C,2,07,C,13/12/2019,5,11/02/2020,10,21/02/2020,3,2,3,50,16.7,0,0.0,0.0,3,024,2,46,0,0,038,1,4,0,0,048,0,0,0,0,1,1,0,0,0,0,110,000,2,0,,,,,,,,,,,,,,,,,,
07-D,2,07,D,15/11/2010,1,11/02/2020,10,21/02/2020,4,1,1,25,25.0,3,89.0,29.7,4,024,0,0,2,46,033,0,0,1,43,046,1,25,0,0,0,0,1,1,1,0,001,110,1,2,,,,,,,,,,,,,,,,,,
08-A,2,08,A,13/12/2019,5,18/02/2020,7,25/02/2020,2,1,1,24,24.0,1,1.0,0.3,2,028,1,24,0,0,031,0,0,0,0,052,0,0,1,1,1,0,0,0,0,1,100,001,1,1,,,,,,,,,,,,,,,,,,
08-B,2,08,B,15/11/2019,2,11/02/2020,10,21/02/2020,2,1,1,18,18.0,1,24.0,8.0,2,028,0,0,1,24,032,0,0,0,0,054,1,18,0,0,0,0,1,1,0,0,001,100,1,1,,,,,,,,,,,,,,,,,,
08-C,2,08,C,15/11/2019,2,11/02/2020,14,25/02/2020,2,1,1,6,6.0,1,18.0,6.0,2,025,1,6,0,0,031,0,0,0,0,054,0,0,1,18,1,0,0,0,0,1,100,001,1,1,,,,,,,,,,,,,,,,,,
08-D,2,08,D,15/11/2019,1,11/02/2020,14,25/02/2020,2,1,1,1,1.0,1,6.0,2.0,2,025,0,0,1,6,032,0,0,0,0,052,1,1,0,0,0,0,1,1,0,0,001,100,1,1,,,,,,,,,,,,,,,,,,
09-A,2,09,A,15/11/2019,1,18/02/2020,7,25/02/2020,1,1,1,20,20.0,0,0.0,0.0,1,019,0,0,0,0,040,1,20,0,0,049,0,0,0,0,0,1,0,0,0,0,010,000,1,0,,,,,,,,,,,,,,,,,,
09-B,2,09,B,15/11/2019,1,18/02/2020,7,25/02/2020,2,1,2,44,22.0,0,0.0,0.0,2,019,0,0,0,0,036,0,0,0,0,047,2,44,0,0,0,0,1,0,0,0,001,000,1,0,,,,,,,,,,,,,,,,,,
09-C,2,09,C,15/11/2019,2,11/02/2020,10,21/02/2020,4,1,1,17,17.0,3,64.0,21.3,4,026,1,17,0,0,040,0,0,1,20,047,0,0,2,44,1,0,0,0,1,1,100,011,1,2,,,,,,,,,,,,,,,,,,
09-D,2,09,D,13/12/2019,6,18/02/2020,7,25/02/2020,1,0,0,0,0.0,1,17.0,5.7,1,026,0,0,1,17,036,0,0,0,0,049,0,0,0,0,0,0,0,1,0,0,000,100,0,1,,,,,,,,,,,,,,,,,,
10-A,3,10,A,15/11/2019,1,18/02/2020,14,03/03/2020,5,0,0,0,0.0,5,57.0,19.0,5,072,0,0,1,3,087,0,0,2,11,115,0,0,2,43,0,0,0,1,1,1,000,111,0,3,,,,,,,,,,,,,,,,,,
10-B,3,10,B,13/12/2019,5,18/02/2020,14,03/03/2020,1,1,1,3,3.0,0,0.0,0.0,1,072,1,3,0,0,092,0,0,0,0,103,0,0,0,0,1,0,0,0,0,0,100,000,1,0,,,,,,,,,,,,,,,,,,
10-C,3,10,C,13/12/2019,6,25/02/2020,7,03/03/2020,2,1,2,11,5.5,0,0.0,0.0,2,058,0,0,0,0,087,2,11,0,0,103,0,0,0,0,0,1,0,0,0,0,010,000,1,0,,,,,,,,,,,,,,,,,,
10-D,3,10,D,13/12/2019,5,18/02/2020,14,03/03/2020,2,1,2,43,21.5,0,0.0,0.0,2,058,0,0,0,0,092,0,0,0,0,115,2,43,0,0,0,0,1,0,0,0,001,000,1,0,,,,,,,,,,,,,,,,,,
11-A,3,11,A,06/12/2019,4,18/02/2020,14,03/03/2020,6,1,2,8,4.0,4,53.0,17.7,6,074,0,0,0,0,083,2,8,2,27,110,0,0,2,26,0,1,0,0,1,1,010,011,1,2,,,,,,,,,,,,,,,,,,
11-B,3,11,B,15/11/2019,2,18/02/2020,14,03/03/2020,6,1,5,17,3.4,1,11.0,3.7,6,074,0,0,0,0,093,0,0,1,11,119,5,17,0,0,0,0,1,0,1,0,001,010,1,1,,,,,,,,,,,,,,,,,,
11-C,3,11,C,13/12/2019,5,18/02/2020,14,03/03/2020,10,2,3,46,15.3,7,25.0,8.3,10,063,1,19,0,0,083,2,27,2,8,119,0,0,5,17,1,1,0,0,1,1,110,011,2,2,,,,,,,,,,,,,,,,,,
11-D,3,11,D,15/11/2019,1,18/02/2020,14,03/03/2020,4,2,3,37,12.3,1,19.0,6.3,4,063,0,0,1,19,093,1,11,0,0,110,2,26,0,0,0,1,1,1,0,0,011,100,2,1,,,,,,,,,,,,,,,,,,
12-A,3,12,A,15/11/2019,1,18/02/2020,14,03/03/2020,3,1,1,25,25.0,2,72.0,24.0,3,062,0,0,0,0,095,1,25,1,9,112,0,0,1,63,0,1,0,0,1,1,010,011,1,2,,,,,,,,,,,,,,,,,,
12-B,3,12,B,15/11/2019,1,18/02/2020,14,03/03/2020,2,1,1,16,16.0,1,37.0,12.3,2,062,0,0,0,0,101,0,0,1,37,104,1,16,0,0,0,0,1,0,1,0,001,010,1,1,,,,,,,,,,,,,,,,,,
12-C,3,12,C,06/12/2019,4,25/02/2020,7,03/03/2020,3,1,1,9,9.0,2,41.0,13.7,3,076,0,0,0,0,095,1,9,1,25,104,0,0,1,16,0,1,0,0,1,1,010,011,1,2,,,,,,,,,,,,,,,,,,
12-D,3,12,D,15/11/2019,2,18/02/2020,14,03/03/2020,2,2,2,100,50.0,0,0.0,0.0,2,076,0,0,0,0,101,1,37,0,0,112,1,63,0,0,0,1,1,0,0,0,011,000,2,0,,,,,,,,,,,,,,,,,,
13-A,3,13,A,02/12/2019,4,18/02/2020,14,03/03/2020,6,3,6,45,7.5,0,0.0,0.0,6,060,1,9,0,0,094,2,4,0,0,107,3,32,0,0,1,1,1,0,0,0,111,000,3,0,,,,,,,,,,,,,,,,,,
13-B,3,13,B,13/12/2019,6,18/02/2020,14,03/03/2020,3,1,1,3,3.0,2,32.0,10.7,3,060,0,0,1,9,090,1,3,0,0,118,0,0,1,23,0,1,0,1,0,1,010,101,1,2,,,,,,,,,,,,,,,,,,
13-C,3,13,C,15/11/2019,1,18/02/2020,14,03/03/2020,5,2,2,53,26.5,3,28.0,9.3,5,078,1,30,1,24,094,0,0,2,4,118,1,23,0,0,1,0,1,1,1,0,101,110,2,2,,,,,,,,,,,,,,,,,,
13-D,3,13,D,15/11/2019,2,25/02/2020,7,03/03/2020,6,1,1,24,24.0,5,65.0,21.7,6,078,1,24,1,30,090,0,0,1,3,107,0,0,3,32,1,0,0,1,1,1,100,111,1,3,,,,,,,,,,,,,,,,,,
14-A,3,14,A,13/12/2019,5,25/02/2020,7,03/03/2020,1,1,1,3,3.0,0,0.0,0.0,1,069,0,0,0,0,082,0,0,0,0,109,1,3,0,0,0,0,1,0,0,0,001,000,1,0,,,,,,,,,,,,,,,,,,
14-B,3,14,B,15/11/2019,1,18/02/2020,14,03/03/2020,2,1,2,6,3.0,0,0.0,0.0,2,069,0,0,0,0,088,2,6,0,0,111,0,0,0,0,0,1,0,0,0,0,010,000,1,0,,,,,,,,,,,,,,,,,,
14-C,3,14,C,15/11/2019,2,18/02/2020,14,03/03/2020,0,0,0,0,0.0,0,0.0,0.0,0,077,0,0,0,0,082,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,000,000,0,0,,,,,,,,,,,,,,,,,,
14-D,3,14,D,13/12/2019,5,25/02/2020,7,03/03/2020,3,0,0,0,0.0,3,9.0,3.0,3,077,0,0,0,0,088,0,0,2,6,109,0,0,1,3,0,0,0,0,1,1,000,011,0,2,,,,,,,,,,,,,,,,,,
15-A,3,15,A,15/11/2019,1,18/02/2020,14,03/03/2020,2,0,0,0,0.0,2,13.0,4.3,2,059,0,0,0,0,102,0,0,0,0,105,0,0,2,13,0,0,0,0,0,1,000,001,0,1,,,,,,,,,,,,,,,,,,
15-B,3,15,B,16/12/2019,3,18/02/2020,14,03/03/2020,5,2,4,73,18.3,1,6.0,2.0,5,059,0,0,0,0,086,1,19,0,0,116,3,54,1,6,0,1,1,0,0,1,011,001,2,1,,,,,,,,,,,,,,,,,,
15-C,3,15,C,15/11/2019,2,18/02/2020,14,03/03/2020,5,2,2,28,14.0,3,54.0,18.0,5,064,1,22,0,0,102,0,0,0,0,116,1,6,3,54,1,0,1,0,0,1,101,001,2,1,,,,,,,,,,,,,,,,,,
15-D,3,15,D,13/12/2019,5,18/02/2020,14,03/03/2020,4,1,2,13,6.5,2,41.0,13.7,4,064,0,0,1,22,086,0,0,1,19,105,2,13,0,0,0,0,1,1,1,0,001,110,1,2,,,,,,,,,,,,,,,,,,
16-A,3,16,A,13/12/2019,6,18/02/2020,14,03/03/2020,3,1,1,14,14.0,2,55.0,18.3,3,055,1,14,0,0,089,0,0,0,0,117,0,0,2,55,1,0,0,0,0,1,100,001,1,1,,,,,,,,,,,,,,,,,,
16-B,3,16,B,15/11/2019,1,18/02/2020,14,03/03/2020,4,1,1,8,8.0,3,40.0,13.3,4,055,0,0,1,14,097,1,8,0,0,122,0,0,2,26,0,1,0,1,0,1,010,101,1,2,,,,,,,,,,,,,,,,,,
16-C,3,16,C,15/11/2019,1,18/02/2020,14,03/03/2020,3,1,2,26,13.0,1,2.0,0.7,3,067,0,0,1,2,089,0,0,0,0,122,2,26,0,0,0,0,1,1,0,0,001,100,1,1,,,,,,,,,,,,,,,,,,
16-D,3,16,D,13/12/2019,6,18/02/2020,14,03/03/2020,4,2,3,57,19.0,1,8.0,2.7,4,067,1,2,0,0,097,0,0,1,8,117,2,55,0,0,1,0,1,0,1,0,101,010,2,1,,,,,,,,,,,,,,,,,,
17-A,3,17,A,13/12/2019,6,18/02/2020,14,03/03/2020,4,1,2,6,3.0,2,34.0,11.3,4,071,2,6,0,0,080,0,0,0,0,123,0,0,2,34,1,0,0,0,0,1,100,001,1,1,,,,,,,,,,,,,,,,,,
17-B,3,17,B,15/11/2019,2,18/02/2020,14,03/03/2020,4,1,1,20,20.0,3,23.0,7.7,4,071,0,0,2,6,096,0,0,0,0,108,1,20,1,17,0,0,1,1,0,1,001,101,1,2,,,,,,,,,,,,,,,,,,
17-C,3,17,C,06/12/2019,4,25/02/2020,7,03/03/2020,2,1,1,17,17.0,1,20.0,6.7,2,070,0,0,0,0,080,0,0,0,0,108,1,17,1,20,0,0,1,0,0,1,001,001,1,1,,,,,,,,,,,,,,,,,,
17-D,3,17,D,13/12/2019,5,18/02/2020,14,03/03/2020,2,1,2,34,17.0,0,0.0,0.0,2,070,0,0,0,0,096,0,0,0,0,123,2,34,0,0,0,0,1,0,0,0,001,000,1,0,,,,,,,,,,,,,,,,,,
18-A,3,18,A,15/11/2019,2,25/02/2020,7,03/03/2020,4,2,2,20,10.0,2,10.0,3.3,4,075,0,0,0,0,099,1,19,1,6,121,1,1,1,4,0,1,1,0,1,1,011,011,2,2,,,,,,,,,,,,,,,,,,
18-B,3,18,B,06/12/2019,4,25/02/2020,7,03/03/2020,2,0,0,0,0.0,2,14.0,4.7,2,075,0,0,0,0,079,0,0,1,12,120,0,0,1,2,0,0,0,0,1,1,000,011,0,2,,,,,,,,,,,,,,,,,,
18-C,3,18,C,15/11/2019,1,18/02/2020,14,03/03/2020,4,2,2,8,4.0,2,28.0,9.3,4,068,0,0,1,9,099,1,6,1,19,120,1,2,0,0,0,1,1,1,1,0,011,110,2,2,,,,,,,,,,,,,,,,,,
18-D,3,18,D,13/12/2019,5,18/02/2020,14,03/03/2020,4,3,3,25,8.3,1,1.0,0.3,4,068,1,9,0,0,079,1,12,0,0,121,1,4,1,1,1,1,1,0,0,1,111,001,3,1,,,,,,,,,,,,,,,,,,
19-A,3,19,A,13/12/2019,6,18/02/2020,14,03/03/2020,5,3,4,16,4.0,1,2.0,0.7,5,057,1,3,0,0,100,1,7,0,0,114,2,6,1,2,1,1,1,0,0,1,111,001,3,1,,,,,,,,,,,,,,,,,,
19-B,3,19,B,15/11/2019,1,25/02/2020,7,03/03/2020,1,0,0,0,0.0,1,3.0,1.0,1,057,0,0,1,3,084,0,0,0,0,124,0,0,0,0,0,0,0,1,0,0,000,100,0,1,,,,,,,,,,,,,,,,,,
19-C,3,19,C,15/11/2019,1,18/02/2020,14,03/03/2020,2,0,0,0,0.0,2,13.0,4.3,2,061,0,0,1,6,100,0,0,1,7,124,0,0,0,0,0,0,0,1,1,0,000,110,0,2,,,,,,,,,,,,,,,,,,
19-D,3,19,D,13/12/2019,6,18/02/2020,14,03/03/2020,4,2,2,8,4.0,2,6.0,2.0,4,061,1,6,0,0,084,0,0,0,0,114,1,2,2,6,1,0,1,0,0,1,101,001,2,1,,,,,,,,,,,,,,,,,,
20-A,3,20,A,15/11/2019,2,18/02/2020,14,03/03/2020,3,1,1,5,5.0,2,6.0,2.0,3,067,0,0,0,0,091,1,5,0,0,125,0,0,2,6,0,1,0,0,0,1,010,001,1,1,,,,,,,,,,,,,,,,,,
20-B,3,20,B,13/12/2019,6,18/02/2020,14,03/03/2020,2,1,1,15,15.0,1,15.0,5.0,2,067,0,0,0,0,081,0,0,1,15,113,1,15,0,0,0,0,1,0,1,0,110,010,1,1,,,,,,,,,,,,,,,,,,
20-C,3,20,C,13/12/2019,6,18/02/2020,14,03/03/2020,4,0,0,0,0.0,4,35.0,11.7,4,056,0,0,2,15,091,0,0,1,5,113,0,0,1,15,0,0,0,1,1,1,000,111,0,3,,,,,,,,,,,,,,,,,,
20-D,3,20,D,15/11/2019,2,18/02/2020,14,03/03/2020,5,3,5,36,7.2,0,0.0,0.0,5,056,2,15,0,0,081,1,15,0,0,125,2,6,0,0,1,1,1,0,0,0,111,000,3,0,,,,,,,,,,,,,,,,,,
