ID,Week,Block,Rep,Hatch,Box,Isolation,DaysIso,Maturation,#Bouts,Trials I,#I,TDur,AvDur,#E,TDurE,AvDurE,#Agg,T1,1#I,1IDur,1#E,1EDur,T2,2#I,2IDur,2#E,2EDur,T3,3#I,3IDur,3#E,3EDur,I1,I2,I3,E1,E2,E3,I,E,IC,EC,,,,,,,,,,,,,,,,,,
21-A,3,21,A,06/12/2019,4,25/02/2020,7,03/03/2020,3,2,3,65,21.7,0,0.0,0.0,3,073,0,0,0,0,098,1,34,0,0,126,2,31,0,0,0,1,1,0,0,0,011,000,2,0,,,,,,,,,,,,,,,,,,
21-B,3,21,B,13/12/2019,6,18/02/2020,14,03/03/2020,0,0,0,0,0.0,0,0.0,0.0,0,073,0,0,0,0,085,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,000,000,0,0,,,,,,,,,,,,,,,,,,
21-C,3,21,C,13/12/2019,5,18/02/2020,14,03/03/2020,1,0,0,0,0.0,1,34.0,11.3,1,066,0,0,0,0,098,0,0,1,34,106,0,0,0,0,0,0,0,0,1,0,000,010,0,1,,,,,,,,,,,,,,,,,,
21-D,3,21,D,13/12/2019,5,18/02/2020,14,03/03/2020,2,0,0,0,0.0,2,31.0,10.3,2,066,0,0,0,0,085,0,0,0,0,126,0,0,2,31,0,0,0,0,0,1,000,001,0,1,,,,,,,,,,,,,,,,,,
22-A,4,22,A,06/12/2019,4,25/02/2020,9,05/03/2020,3,2,3,40,13.3,0,0.0,0.0,3,132,0,0,0,0,136,1,24,0,0,143,2,16,0,0,0,1,1,0,0,0,011,000,2,0,,,,,,,,,,,,,,,,,,
22-B,4,22,B,13/12/2019,5,15/02/2020,19,05/03/2020,0,0,0,0,0.0,0,0.0,0.0,0,132,0,0,0,0,138,0,0,0,0,142,0,0,0,0,0,0,0,0,0,0,000,000,0,0,,,,,,,,,,,,,,,,,,
22-C,4,22,C,06/12/2019,4,25/02/2020,9,05/03/2020,1,0,0,0,0.0,1,24.0,8.0,1,127,0,0,0,0,136,0,0,1,24,142,0,0,0,0,0,0,0,0,1,0,000,010,0,1,,,,,,,,,,,,,,,,,,
22-D,4,22,D,15/11/2019,1,25/02/2020,9,05/03/2020,2,0,0,0,0.0,2,16.0,5.3,2,127,0,0,0,0,138,0,0,0,0,143,0,0,2,16,0,0,0,0,0,1,000,001,0,1,,,,,,,,,,,,,,,,,,
23-A,4,23,A,13/12/2019,6,18/02/2020,16,05/03/2020,4,2,3,37,12.3,1,8.0,2.7,4,130,2,27,0,0,137,0,0,1,8,139,1,10,0,0,1,0,1,0,1,0,101,010,2,1,,,,,,,,,,,,,,,,,,
23-B,4,23,B,15/11/2019,2,25/02/2020,12,08/03/2020,6,1,1,16,16.0,5,61.0,20.3,6,130,0,0,2,27,135,1,16,1,17,141,0,0,2,17,0,1,0,1,1,1,010,111,1,3,,,,,,,,,,,,,,,,,,
23-C,4,23,C,06/12/2019,3,28/02/2020,6,05/03/2020,6,3,5,51,10.2,1,1.0,0.3,6,128,2,26,1,1,137,1,8,0,0,141,2,17,0,0,1,1,1,1,0,0,111,100,3,1,,,,,,,,,,,,,,,,,,
23-D,4,23,D,13/12/2019,5,25/02/2020,9,05/03/2020,6,2,2,18,9.0,4,52.0,17.3,6,128,1,1,2,26,135,1,17,1,16,139,0,0,1,10,1,1,0,1,1,1,110,111,2,3,,,,,,,,,,,,,,,,,,
24-A,4,24,A,13/12/2019,5,25/02/2020,9,05/03/2020,3,0,0,0,0.0,3,19.0,6.3,3,129,0,0,0,0,134,0,0,1,3,144,0,0,2,16,0,0,0,0,1,1,000,011,0,2,,,,,,,,,,,,,,,,,,
24-B,4,24,B,15/11/2019,1,25/02/2020,9,05/03/2020,2,0,0,0,0.0,2,27.0,9.0,2,129,0,0,0,0,133,0,0,1,17,140,0,0,1,10,0,0,0,0,1,1,000,011,0,2,,,,,,,,,,,,,,,,,,
24-C,4,24,C,06/12/2019,4,25/02/2020,9,05/03/2020,3,2,2,13,6.5,1,41.0,13.7,3,131,0,0,1,41,134,1,3,0,0,140,1,10,0,0,0,1,1,1,0,0,011,100,2,1,,,,,,,,,,,,,,,,,,
24-D,4,24,D,13/12/2019,5,25/02/2020,9,05/03/2020,4,3,4,74,18.5,0,0.0,0.0,4,131,1,41,0,0,133,1,17,0,0,144,2,16,0,0,1,1,1,0,0,0,111,000,3,0,,,,,,,,,,,,,,,,,,
25-A,5,25,A,15/11/2019,1,28/02/2020,18,17/03/2020,0,0,0,0,0.0,0,0.0,0.0,0,148,0,0,0,0,161,0,0,0,0,178,0,0,0,0,0,0,0,0,0,0,000,000,0,0,,,,,,,,,,,,,,,,,,
25-B,5,25,B,15/11/2019,1,28/02/2020,18,17/03/2020,2,0,0,0,0.0,2,53.0,17.7,2,148,0,0,0,0,163,0,0,1,34,185,0,0,1,19,0,0,0,0,1,1,000,011,0,2,,,,,,,,,,,,,,,,,,
25-C,5,25,C,06/12/2019,3,28/02/2020,18,17/03/2020,3,2,3,21,7.0,0,0.0,0.0,3,146,2,2,0,0,161,0,0,0,0,185,1,19,0,0,1,0,1,0,0,0,101,000,2,0,,,,,,,,,,,,,,,,,,
25-D,5,25,D,13/12/2019,5,10/03/2020,7,17/03/2020,3,1,1,34,34.0,2,2.0,0.7,3,146,0,0,2,2,163,1,34,0,0,178,0,0,0,0,0,1,0,1,0,0,010,100,1,1,,,,,,,,,,,,,,,,,,
26-A,5,26,A,15/11/2019,2,25/02/2020,21,17/03/2020,3,2,3,65,21.7,0,0.0,0.0,3,147,0,0,0,0,166,2,38,0,0,183,1,27,0,0,0,1,1,0,0,0,011,000,2,0,,,,,,,,,,,,,,,,,,
26-B,5,26,B,15/11/2019,1,28/02/2020,18,17/03/2020,3,0,0,0,0.0,3,28.0,9.3,3,147,0,0,0,0,171,0,0,2,3,174,0,0,1,25,0,0,0,0,1,1,000,011,0,2,,,,,,,,,,,,,,,,,,
26-C,5,26,C,06/12/2019,4,25/02/2020,21,17/03/2020,4,1,1,25,25.0,3,86.0,28.7,4,150,0,0,1,48,166,0,0,2,38,174,1,25,0,0,0,0,1,1,1,0,001,110,1,2,,,,,,,,,,,,,,,,,,
26-D,5,26,D,13/12/2019,6,10/03/2020,7,17/03/2020,4,2,3,51,17.0,1,27.0,9.0,4,150,1,48,0,0,171,2,3,0,0,183,0,0,1,27,1,1,0,0,0,1,110,001,2,1,,,,,,,,,,,,,,,,,,
27-A,5,27,A,06/12/2019,3,10/03/2020,7,17/03/2020,3,3,3,54,18.0,0,0.0,0.0,3,149,1,18,0,0,172,1,20,0,0,177,1,16,0,0,1,1,1,0,0,0,111,000,3,0,,,,,,,,,,,,,,,,,,
27-B,5,27,B,13/12/2019,5,28/02/2020,18,17/03/2020,5,1,4,62,15.5,1,18.0,6.0,5,149,0,0,1,18,169,4,62,0,0,180,0,0,0,0,0,1,0,1,0,0,010,100,1,1,,,,,,,,,,,,,,,,,,
27-C,5,27,C,06/12/2019,4,10/03/2020,7,17/03/2020,1,0,0,0,0.0,1,20.0,6.7,1,145,0,0,0,0,172,0,0,1,20,180,0,0,0,0,0,0,0,0,1,0,000,010,0,1,,,,,,,,,,,,,,,,,,
27-D,5,27,D,06/12/2019,4,28/02/2020,18,17/03/2020,5,0,0,0,0.0,5,78.0,26.0,5,145,0,0,0,0,169,0,0,4,62,177,0,0,1,16,0,0,0,0,1,1,000,011,0,2,,,,,,,,,,,,,,,,,,
28-A,5,28,A,13/12/2019,6,28/02/2020,18,17/03/2020,4,2,4,44,11.0,0,0.0,0.0,4,158,2,6,0,0,168,0,0,0,0,173,2,38,0,0,1,0,1,0,0,0,101,000,2,0,,,,,,,,,,,,,,,,,,
28-B,5,28,B,15/11/2019,1,28/02/2020,18,17/03/2020,2,0,0,0,0.0,2,6.0,2.0,2,158,0,0,2,6,164,0,0,0,0,176,0,0,0,0,0,0,0,1,0,0,000,100,0,1,,,,,,,,,,,,,,,,,,
28-C,5,28,C,06/12/2019,4,10/03/2020,7,17/03/2020,2,1,1,28,28.0,1,10.0,3.3,2,155,1,28,1,10,168,0,0,0,0,176,0,0,0,0,1,0,0,1,0,0,100,100,1,1,,,,,,,,,,,,,,,,,,
28-D,5,28,D,13/12/2019,5,28/02/2020,18,17/03/2020,4,1,1,10,10.0,3,66.0,22.0,4,155,1,10,1,28,164,0,0,0,0,173,0,0,2,38,1,0,0,1,0,1,100,101,1,2,,,,,,,,,,,,,,,,,,
29-A,5,29,A,06/12/2019,4,10/03/2020,7,17/03/2020,6,1,3,28,0.0,3,29.0,9.7,6,154,0,0,0,0,165,3,28,1,22,184,0,0,2,7,0,1,0,0,1,1,010,011,1,2,,,,,,,,,,,,,,,,,,
29-B,5,29,B,15/12/2019,5,25/02/2020,21,17/03/2020,4,2,3,71,23.7,1,27.0,9.0,4,154,0,0,0,0,160,2,43,0,0,182,1,28,1,27,0,1,1,0,0,1,011,001,2,1,,,,,,,,,,,,,,,,,,
29-C,5,29,C,06/12/2019,4,28/02/2020,18,17/03/2020,7,3,3,76,25.3,4,56.0,18.7,7,152,1,27,0,0,165,1,22,3,28,182,1,27,1,28,1,1,1,0,1,1,111,011,3,2,,,,,,,,,,,,,,,,,,
29-D,5,29,D,13/12/2019,5,25/02/2020,21,17/03/2020,5,1,2,7,3.5,3,70.0,23.3,5,152,0,0,1,27,160,0,0,2,43,184,2,7,0,0,0,0,1,1,1,0,001,110,1,2,,,,,,,,,,,,,,,,,,
30-A,5,30,A,06/12/2019,3,10/03/2020,7,17/03/2020,5,2,4,44,11.0,1,60.0,20.0,5,151,3,37,0,0,170,0,0,0,0,175,1,7,1,60,1,0,1,0,0,1,101,001,2,1,,,,,,,,,,,,,,,,,,
30-B,5,30,B,13/12/2019,6,25/02/2020,21,17/03/2020,8,2,2,39,19.5,6,66.0,22.0,8,151,0,0,3,37,159,1,9,3,29,186,1,30,0,0,0,1,1,1,1,0,011,110,2,2,,,,,,,,,,,,,,,,,,
30-C,5,30,C,13/12/2019,5,28/02/2020,18,17/03/2020,1,0,0,0,0.0,1,30.0,10.0,1,157,0,0,0,0,170,0,0,0,0,186,0,0,1,30,0,0,0,0,0,1,000,001,0,1,,,,,,,,,,,,,,,,,,
30-D,5,30,D,06/12/2019,3,28/02/2020,18,17/03/2020,6,2,4,89,22.3,2,16.0,5.3,6,157,0,0,0,0,159,3,29,1,9,175,1,60,1,7,0,1,1,0,1,1,011,011,2,2,,,,,,,,,,,,,,,,,,
31-A,5,31,A,06/12/2019,4,25/02/2020,21,17/03/2020,3,0,0,0,0.0,3,88.0,29.3,3,153,0,0,1,33,162,0,0,2,55,181,0,0,0,0,0,0,0,1,1,0,000,110,0,2,,,,,,,,,,,,,,,,,,
31-B,5,31,B,15/11/2019,1,28/02/2020,18,17/03/2020,4,1,1,33,33.0,3,38.0,12.7,4,153,1,33,0,0,167,0,0,2,24,179,0,0,1,14,1,0,0,0,1,1,100,011,1,2,,,,,,,,,,,,,,,,,,
31-C,5,31,C,15/11/2019,2,28/02/2020,18,17/03/2020,3,2,3,69,23.0,0,0.0,0.0,3,156,0,0,0,0,162,2,55,0,0,179,1,14,0,0,0,1,1,0,0,0,011,000,2,0,,,,,,,,,,,,,,,,,,
31-D,5,31,D,06/12/2019,3,10/03/2020,7,17/03/2020,2,1,2,24,12.0,0,0.0,0.0,2,156,0,0,0,0,167,2,24,0,0,181,0,0,0,0,0,1,0,0,0,0,010,000,1,0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
