Cat,Obs,,,,,,,
0,EC,,,,,,,
0,EC,,,,,,,
0,EC,,,,,,,
0,EC,,,,,,,
0,EC,,,,,,,
0,EC,,,,,,,
0,EC,,,,,,,
0,EC,,,,,,,
0,EC,,,,,,,
0,EC,,,,,,,
0,EC,,,,,,,
0,EC,,,,,,,
0,EC,,,,,,,
0,EC,,,,,,,
0,EC,,,,,,,
0,EC,,,,,,,
0,EC,,,,,,,
0,EC,,,,,,,
0,EC,,,,,,,
0,EC,,,,,,,
0,EC,,,,,,,
0,EC,,,,,,,
0,EC,,,,,,,
0,EC,,,,,,,
0,EC,,,,,,,
0,EC,,,,,,,
0,EC,,,,,,,
0,EC,,,,,,,
0,EC,,,,,,,
0,EC,,,,,,,
0,EC,,,,,,,
0,EC,,,,,,,
0,EC,,,,,,,
0,EC,,,,,,,
1,EC,,,,,,,
1,EC,,,,,,,
1,EC,,,,,,,
1,EC,,,,,,,
1,EC,,,,,,,
1,EC,,,,,,,
1,EC,,,,,,,
1,EC,,,,,,,
1,EC,,,,,,,
1,EC,,,,,,,
1,EC,,,,,,,
1,EC,,,,,,,
1,EC,,,,,,,
1,EC,,,,,,,
1,EC,,,,,,,
1,EC,,,,,,,
1,EC,,,,,,,
1,EC,,,,,,,
1,EC,,,,,,,
1,EC,,,,,,,
1,EC,,,,,,,
1,EC,,,,,,,
1,EC,,,,,,,
1,EC,,,,,,,
1,EC,,,,,,,
1,EC,,,,,,,
1,EC,,,,,,,
1,EC,,,,,,,
1,EC,,,,,,,
1,EC,,,,,,,
1,EC,,,,,,,
1,EC,,,,,,,
1,EC,,,,,,,
1,EC,,,,,,,
1,EC,,,,,,,
1,EC,,,,,,,
1,EC,,,,,,,
1,EC,,,,,,,
1,EC,,,,,,,
1,EC,,,,,,,
1,EC,,,,,,,
1,EC,,,,,,,
1,EC,,,,,,,
1,EC,,,,,,,
1,EC,,,,,,,
1,EC,,,,,,,
1,EC,,,,,,,
1,EC,,,,,,,
1,EC,,,,,,,
1,EC,,,,,,,
1,EC,,,,,,,
2,EC,,,,,,,
2,EC,,,,,,,
2,EC,,,,,,,
2,EC,,,,,,,
2,EC,,,,,,,
2,EC,,,,,,,
2,EC,,,,,,,
2,EC,,,,,,,
2,EC,,,,,,,
2,EC,,,,,,,
2,EC,,,,,,,
2,EC,,,,,,,
2,EC,,,,,,,
2,EC,,,,,,,
2,EC,,,,,,,
2,EC,,,,,,,
2,EC,,,,,,,
2,EC,,,,,,,
2,EC,,,,,,,
2,EC,,,,,,,
2,EC,,,,,,,
2,EC,,,,,,,
2,EC,,,,,,,
2,EC,,,,,,,
2,EC,,,,,,,
2,EC,,,,,,,
2,EC,,,,,,,
2,EC,,,,,,,
2,EC,,,,,,,
2,EC,,,,,,,
2,EC,,,,,,,
3,EC,,,,,,,
3,EC,,,,,,,
3,EC,,,,,,,
3,EC,,,,,,,
3,EC,,,,,,,
3,EC,,,,,,,
3,EC,,,,,,,
3,EC,,,,,,,
0,Random,,,,,,,
0,Random,,,,,,,
0,Random,,,,,,,
0,Random,,,,,,,
0,Random,,,,,,,
0,Random,,,,,,,
0,Random,,,,,,,
0,Random,,,,,,,
0,Random,,,,,,,
0,Random,,,,,,,
0,Random,,,,,,,
0,Random,,,,,,,
0,Random,,,,,,,
0,Random,,,,,,,
0,Random,,,,,,,
0,Random,,,,,,,
0,Random,,,,,,,
0,Random,,,,,,,
0,Random,,,,,,,
0,Random,,,,,,,
0,Random,,,,,,,
0,Random,,,,,,,
0,Random,,,,,,,
0,Random,,,,,,,
0,Random,,,,,,,
0,Random,,,,,,,
0,Random,,,,,,,
0,Random,,,,,,,
0,Random,,,,,,,
0,Random,,,,,,,
0,Random,,,,,,,
1,Random,,,,,,,
1,Random,,,,,,,
1,Random,,,,,,,
1,Random,,,,,,,
1,Random,,,,,,,
1,Random,,,,,,,
1,Random,,,,,,,
1,Random,,,,,,,
1,Random,,,,,,,
1,Random,,,,,,,
1,Random,,,,,,,
1,Random,,,,,,,
1,Random,,,,,,,
1,Random,,,,,,,
1,Random,,,,,,,
1,Random,,,,,,,
1,Random,,,,,,,
1,Random,,,,,,,
1,Random,,,,,,,
1,Random,,,,,,,
1,Random,,,,,,,
1,Random,,,,,,,
1,Random,,,,,,,
1,Random,,,,,,,
1,Random,,,,,,,
1,Random,,,,,,,
1,Random,,,,,,,
1,Random,,,,,,,
1,Random,,,,,,,
1,Random,,,,,,,
1,Random,,,,,,,
2,Random,,,,,,,
2,Random,,,,,,,
2,Random,,,,,,,
2,Random,,,,,,,
2,Random,,,,,,,
2,Random,,,,,,,
2,Random,,,,,,,
2,Random,,,,,,,
2,Random,,,,,,,
2,Random,,,,,,,
2,Random,,,,,,,
2,Random,,,,,,,
2,Random,,,,,,,
2,Random,,,,,,,
2,Random,,,,,,,
2,Random,,,,,,,
2,Random,,,,,,,
2,Random,,,,,,,
2,Random,,,,,,,
2,Random,,,,,,,
2,Random,,,,,,,
2,Random,,,,,,,
2,Random,,,,,,,
2,Random,,,,,,,
2,Random,,,,,,,
2,Random,,,,,,,
2,Random,,,,,,,
2,Random,,,,,,,
2,Random,,,,,,,
2,Random,,,,,,,
2,Random,,,,,,,
3,Random,,,,,,,
3,Random,,,,,,,
3,Random,,,,,,,
3,Random,,,,,,,
3,Random,,,,,,,
3,Random,,,,,,,
3,Random,,,,,,,
3,Random,,,,,,,
3,Random,,,,,,,
3,Random,,,,,,,
3,Random,,,,,,,
3,Random,,,,,,,
3,Random,,,,,,,
3,Random,,,,,,,
3,Random,,,,,,,
3,Random,,,,,,,
3,Random,,,,,,,
3,Random,,,,,,,
3,Random,,,,,,,
3,Random,,,,,,,
3,Random,,,,,,,
3,Random,,,,,,,
3,Random,,,,,,,
3,Random,,,,,,,
3,Random,,,,,,,
3,Random,,,,,,,
3,Random,,,,,,,
3,Random,,,,,,,
3,Random,,,,,,,
3,Random,,,,,,,
3,Random,,,,,,,