Cat,Obs,,,
0,IO,,,
0,IO,,,
0,IO,,,
0,IO,,,
0,IO,,,
0,IO,,,
0,IO,,,
0,IO,,,
0,IO,,,
0,IO,,,
0,IO,,,
0,IO,,,
0,IO,,,
0,IO,,,
0,IO,,,
0,IO,,,
0,IO,,,
0,IO,,,
0,IO,,,
0,IO,,,
0,IO,,,
0,IO,,,
0,IO,,,
0,IO,,,
0,IO,,,
0,IO,,,
0,IO,,,
0,IO,,,
0,IO,,,
0,IO,,,
0,IO,,,
0,IO,,,
0,IO,,,
0,IO,,,
0,IO,,,
100,IO,,,
100,IO,,,
100,IO,,,
100,IO,,,
100,IO,,,
100,IO,,,
100,IO,,,
100,IO,,,
100,IO,,,
100,IO,,,
100,IO,,,
100,IO,,,
10,IO,,,
10,IO,,,
10,IO,,,
10,IO,,,
10,IO,,,
10,IO,,,
10,IO,,,
10,IO,,,
10,IO,,,
10,IO,,,
10,IO,,,
10,IO,,,
10,IO,,,
10,IO,,,
10,IO,,,
10,IO,,,
10,IO,,,
10,IO,,,
1,IO,,,
1,IO,,,
1,IO,,,
1,IO,,,
1,IO,,,
1,IO,,,
1,IO,,,
1,IO,,,
1,IO,,,
1,IO,,,
1,IO,,,
1,IO,,,
1,IO,,,
1,IO,,,
1,IO,,,
1,IO,,,
1,IO,,,
1,IO,,,
1,IO,,,
110,IO,,,
110,IO,,,
110,IO,,,
110,IO,,,
110,IO,,,
110,IO,,,
110,IO,,,
110,IO,,,
101,IO,,,
101,IO,,,
101,IO,,,
101,IO,,,
101,IO,,,
101,IO,,,
101,IO,,,
101,IO,,,
101,IO,,,
11,IO,,,
11,IO,,,
11,IO,,,
11,IO,,,
11,IO,,,
11,IO,,,
11,IO,,,
11,IO,,,
11,IO,,,
11,IO,,,
11,IO,,,
11,IO,,,
11,IO,,,
11,IO,,,
111,IO,,,
111,IO,,,
111,IO,,,
111,IO,,,
111,IO,,,
111,IO,,,
111,IO,,,
111,IO,,,
111,IO,,,
0,Random,,,
0,Random,,,
0,Random,,,
0,Random,,,
0,Random,,,
0,Random,,,
0,Random,,,
0,Random,,,
0,Random,,,
0,Random,,,
0,Random,,,
0,Random,,,
0,Random,,,
0,Random,,,
0,Random,,,
0,Random,,,
1,Random,,,
1,Random,,,
1,Random,,,
1,Random,,,
1,Random,,,
1,Random,,,
1,Random,,,
1,Random,,,
1,Random,,,
1,Random,,,
1,Random,,,
1,Random,,,
1,Random,,,
1,Random,,,
1,Random,,,
1,Random,,,
10,Random,,,
10,Random,,,
10,Random,,,
10,Random,,,
10,Random,,,
10,Random,,,
10,Random,,,
10,Random,,,
10,Random,,,
10,Random,,,
10,Random,,,
10,Random,,,
10,Random,,,
10,Random,,,
10,Random,,,
10,Random,,,
100,Random,,,
100,Random,,,
100,Random,,,
100,Random,,,
100,Random,,,
100,Random,,,
100,Random,,,
100,Random,,,
100,Random,,,
100,Random,,,
100,Random,,,
100,Random,,,
100,Random,,,
100,Random,,,
100,Random,,,
100,Random,,,
11,Random,,,
11,Random,,,
11,Random,,,
11,Random,,,
11,Random,,,
11,Random,,,
11,Random,,,
11,Random,,,
11,Random,,,
11,Random,,,
11,Random,,,
11,Random,,,
11,Random,,,
11,Random,,,
11,Random,,,
11,Random,,,
101,Random,,,
101,Random,,,
101,Random,,,
101,Random,,,
101,Random,,,
101,Random,,,
101,Random,,,
101,Random,,,
101,Random,,,
101,Random,,,
101,Random,,,
101,Random,,,
101,Random,,,
101,Random,,,
101,Random,,,
101,Random,,,
110,Random,,,
110,Random,,,
110,Random,,,
110,Random,,,
110,Random,,,
110,Random,,,
110,Random,,,
110,Random,,,
110,Random,,,
110,Random,,,
110,Random,,,
110,Random,,,
110,Random,,,
110,Random,,,
110,Random,,,
110,Random,,,
111,Random,,,
111,Random,,,
111,Random,,,
111,Random,,,
111,Random,,,
111,Random,,,
111,Random,,,
111,Random,,,
111,Random,,,
111,Random,,,
111,Random,,,
111,Random,,,
111,Random,,,
111,Random,,,
111,Random,,,
111,Random,,,